"","country_name_en","iso3c","iso3n","X1","iso2c","fish_supply_daily_g_protein_percap","percent_animal_protein_fish","total_renewable_water","eez_total","ifa_total","pp_eez_weighted","mean_educ","fish_relative_caloric_price","mean_gdp","mean_educ_gender_gap","mean_women_educ","mean_men_educ","mean_wage_gap_all_sectors","mean_wage_gap_fishing_sector","inland_water_min","inland_water_max","direct_w_esitimated_ssf","indirect_w_esitimated_ssf","mean_population","mean_pov_prop","mean_prod_carps_etc","mean_prod_misc_freshwater_fishes","mean_prod_salmons_etc","mean_prod_clams_etc","mean_prod_cod_etc","mean_prod_corals","mean_prod_crabs_etc","mean_prod_flounders_etc","mean_prod_freshwater_crustacea","mean_prod_herrings_etc","mean_prod_lobsters_etc","mean_prod_marine_fishes_noID","mean_prod_misc_coastal_fishes","mean_prod_misc_demersal_fishes","mean_prod_misc_pelagic_fishes","mean_prod_mussels","mean_prod_river_eels","mean_prod_sea_urchins_etc","mean_prod_shads","mean_prod_sharks_etc","mean_prod_shrimps_etc","mean_prod_squids_etc","mean_prod_tunas_etc","mean_prod_misc_marine_crustacea","mean_prod_misc_marine_molluscs","mean_prod_oysters","mean_prod_tilapias_etc","mean_prod_abalones_etc","mean_prod_brown_seaweeds","mean_prod_frogs_etc","mean_prod_green_seaweeds","mean_prod_king_crabs_etc","mean_prod_krill_etc","mean_prod_misc_plants","mean_prod_scallops_etc","mean_prod_sturgeons_etc","mean_prod_misc_aqua_inverts","mean_prod_misc_diadromous_fishes","mean_prod_pearls_etc","mean_prod_tunicates","mean_prod_sponges","mean_prod_turtles","mean_prod_red_seaweeds","mean_prod_misc_aqua_mammals","mean_prod_freshwater_molluscs","mean_pro_horeshoe_crabs_etc","mean_aquaculture_production_freshwater","mean_capture_production","mean_aquaculture_production_marine","mean_aquaculture_production_brackish","mean_total_production","mean.prop.ageing","mean.prop.underfive","mean.prop.working","age.dep.ratio","sat_model_est_pov","mean_voice_account","mean_women_parl_perc","female_particip_ssf","count_femal_particip_ssf","mean_imports_tonnes","mean_exports_tonnes","mean_imports_USD1000","mean_exports_USD1000","nb_languages_established","language_diversity","prop_pop_l1_inst","cultural_hegmony_0_low"
"159","Malaysia","MYS",458,158,"MY",16.8233333333333,27.8963077603361,580,293601,137788,840.225368544385,0.5288427,3.16,21714.1191639028,0.969552720736039,52.0628933333333,53.6978466666667,0.956747873778978,NA,20.14,49.08,180,250,28555611.1818182,0.0202,10428.3010909091,72382.7044545455,NA,52912.5627272727,NA,4000,12893.2145454545,6887.36363636364,810.960272727273,67750,801.833636363636,365633.255727273,249139.878363636,17037.0909090909,407305.695454545,4719.12727272727,0,20.7071818181818,24424.2727272727,21653.7272727273,154514.211272727,80532,79711.5454545455,0,0,801.035545454545,38459.0288181818,NA,NA,366.666666666667,NA,NA,NA,NA,NA,NA,7712.81818181818,19131.8374545455,80,NA,NA,0,196433.5,NA,34.89,NA,116444.625727273,1438911.54545455,51555.4327272727,93137.9117272727,1700049.51563636,0.0603247473300175,0.0835441078736204,0.68467917975771,0.460538058647956,0.0677240050182584,-0.398396564478224,0.101876939910784,0.18,17150,421880.545454545,271566.363636364,860445.363636364,767961.545454545,136,0.735,0.4646493298,0.98
"160","Mozambique","MOZ",508,159,"MZ",3.38,27.4424898511502,217.1,880251,69174,574.442201678839,0.06785455,3.59,1025.5604642191,0.580944630902227,5.07944,8.743415,NA,NA,25.71,43.3,110,790,24293206.6363636,0.504,5.8,60457.8181818182,NA,NA,NA,NA,1242.72727272727,NA,NA,NA,428.090909090909,110462,59.3333333333333,4.125,1.77777777777778,NA,NA,NA,NA,1036.18181818182,12266.2727272727,1510.72727272727,2485.18181818182,NA,NA,NA,476.818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442.5,NA,NA,NA,482.090909090909,189540.181818182,385.636363636364,0,190407.909090909,0.0292534101558413,0.171297563509665,0.520029572352696,0.922967564086485,0.530695475317082,-0.253014366057786,0.3796,0.28,12600,29965,11294.9090909091,56009,57891.9090909091,43,0.926,0.06921767493,0
"161","Namibia","NAM",516,160,NA,3.57333333333333,13.642148129295,39.91,560101,66241,1541.85,NA,3.44,8972.95950773014,NA,NA,NA,0.880771289009013,NA,21.37,27.65,5.6,18,2159319.36363636,0.2305,NA,2805.29909090909,NA,NA,139453.363636364,NA,1902.45454545455,592,NA,21026.3636363636,150.090909090909,3281.72727272727,956.636363636364,12983.0909090909,254894.181818182,9.10454545454546,NA,NA,NA,3526.18181818182,NA,386.454545454545,3053.72727272727,NA,NA,396.727272727273,58.494,5.70909090909091,NA,NA,NA,NA,NA,NA,NA,NA,38.6,NA,NA,NA,NA,NA,115.363636363636,NA,NA,NA,58.4754545454545,445023.818181818,411.540909090909,NA,445493.834545455,0.0381638731338942,0.135871969851099,0.591300128833176,0.691188537322525,0.42327644399475,0.458889709277586,0.287820512820513,0,0,24777.9090909091,384524.181818182,44456.9090909091,667404.272727273,NA,NA,NA,0.98
"162","New Caledonia","NCL",540,161,"NC",6.66666666666667,11.8441312329741,NA,1422596,36464,294.037,NA,NA,NA,NA,NA,NA,NA,NA,5.9,7.8,NA,NA,255222.727272727,NA,NA,0,NA,NA,NA,0,49.5454545454545,NA,2.4,NA,18.6363636363636,280.727272727273,110.295454545455,0,65.9090909090909,NA,NA,491.454545454545,NA,27.2727272727273,1673,0.0909090909090909,2607.63636363636,0.0909090909090909,11.7272727272727,48.8888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.427272727273,NA,NA,NA,NA,NA,NA,NA,2.4,3844.60909090909,1713.20454545455,0,5559.99545454545,0.0841535800916511,0.0781536166767794,0.676829819621633,0.477476273960606,0.14952139875956,NA,NA,NA,NA,4254.18181818182,1991.54545454545,15731.9090909091,23655.7272727273,39,0.75,0.2434058861,0
"163","Niger","NER",562,162,"NE",0.636666666666667,4.78576797795039,34.05,NA,NA,NA,0.0327811,20.51,1064.31373806208,0.397828888906679,1.98776,4.99652,0.557938891502655,NA,8.22,9.51,NA,NA,17257481.9090909,0.467,NA,27847.1818181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9811.54545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.090909090909,37515.6363636364,NA,NA,37658.7272727273,0.0255826275782421,0.203277336988121,0.474839380320718,1.10597528647387,0.758316112845795,-0.41095858541402,0.127894219324121,NA,NA,4165.90909090909,723.090909090909,2447.72727272727,593.545454545455,22,0.571,0.5830153733,0
"164","Norfolk Island","NFK",574,163,"NF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.325,0.7962085308,0.2
"165","Nigeria","NGA",566,164,"NG",3.19333333333333,28.656895004487,286.2,216325,36472,834.69,0.44356,6.63,4747.23630855509,0.773895746414769,38.6216,49.90543,0.871159191699306,NA,45.99,93.52,600,4100,163388934.909091,0.46,33629.3636363636,414727.090909091,NA,NA,2352.45454545455,NA,4191.81818181818,14412.7272727273,NA,97882.4545454545,3805.72727272727,37165.2727272727,98461.7272727273,10092.2727272727,28368.7272727273,NA,NA,NA,NA,18392.7272727273,22711,377.454545454545,662.454545454545,0,NA,NA,71048,4123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214238.181818182,648162.454545455,NA,3.63636363636364,862404.272727273,0.0273732295686531,0.170413706760905,0.533782335096706,0.873422805981074,0.364000573907469,-0.590650975704193,0.0654303317584171,0.13,76800,1118969.81818182,23742.6363636364,1112077.18181818,106923.090909091,527,0.89,0.3586172033,1
"166","Nicaragua","NIC",558,165,"NI",1.53666666666667,6.69668797210924,164.5,222754,53760,418.255553031595,NA,4.18,4401.79600185464,NA,NA,NA,1.10003104140889,0.782899095957595,15.99,25.62,16,17,5905346.09090909,0.323333333333333,0,192.727272727273,NA,NA,NA,NA,284.636363636364,106.818181818182,3.33333333333333,156.909090909091,4480.36363636364,562.545454545455,4558.45454545455,56.0909090909091,475.818181818182,NA,NA,1057,NA,391.909090909091,21566.5363636364,25.8181818181818,14120.2727272727,NA,2,0.818181818181818,898.363636363636,6376.90909090909,NA,NA,NA,1589.54545454545,NA,NA,NA,NA,749,NA,NA,NA,NA,NA,NA,NA,NA,NA,390.363636363636,37603.6363636364,0,19387.2636363636,57381.2636363636,0.049850010416776,0.107095755145183,0.636498254583575,0.571096217151834,0.270388229325688,-0.55905651233413,0.312252964426877,0.06,1004,6415.45454545455,29600.2727272727,11229.1818181818,186113.727272727,11,0.052,0.9035075069,0.03
"167","Netherlands","NLD",528,166,"NL",6.87333333333333,8.81384911305834,91,87234,22219,1183.15067691496,0.67165157,6.97,46898.4532540036,0.881902204086035,63.029659,71.470123,NA,NA,7.12,16.84,2.7,6,16673353.1818182,NA,341.090909090909,3897.18181818182,1017.81818181818,2791.09090909091,56211.8181818182,NA,458.090909090909,47301.3636363636,11.2727272727273,144552.818181818,1051.54545454545,2458.72727272727,1806.63636363636,6497.72727272727,117349.090909091,44360.8818181818,3199.63636363636,0,3.63636363636364,472.909090909091,18393.0909090909,614.090909090909,621.454545454545,NA,0.181818181818182,2969.36363636364,600,129.090909090909,NA,NA,NA,NA,NA,NA,308.090909090909,22.7272727272727,0,NA,0,NA,NA,NA,NA,NA,0,NA,6662.45454545455,403021.545454545,47339.2454545455,145.454545454545,457168.7,0.177974938410065,0.0527984546739848,0.65542662997917,0.525723787011494,0.0379390570108238,1.53838007016615,0.392121212121212,0.05,135,891036.454545455,987095.545454545,3026713.81818182,3490502.54545455,15,0.405,0.3354218921,1
"168","Norway","NOR",578,167,"NO",14.58,18.3265596849206,393,2473667,224434,481.622179759846,0.725120577777778,4.54,60424.0538263824,0.977900076612312,71.71533,73.3360511111111,0.876411961989116,0.933856435379032,43.02,52.28,20,46,4951605.63636364,NA,0.0909090909090909,2.18181818181818,1088702.74181818,7.81818181818182,1029972.95636364,NA,6475.45454545455,17655.6009090909,0,688215.636363636,305.090909090909,1256.77636363636,59563,42184.8181818182,349708.545454545,2265.14836363636,73.2727272727273,1.27272727272727,NA,1212.09090909091,24613.8181818182,4.54545454545455,4.72727272727273,230.904545454545,33.0909090909091,4.7,NA,84.3636363636364,148668.58,NA,NA,2370.36363636364,98612.8181818182,36506,740.925636363636,NA,0.000142857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.4336363636364,2311002.36372727,1103215.95672727,NA,3414302.75409091,0.162390023862796,0.0592361112662435,0.657506682248591,0.520897090475377,NA,1.65868548913435,0.388380849919312,0.03,93,657277.454545455,2439383,1223977.36363636,8584116.36363636,11,0.067,0.9073183228,0
